Group,Sex,Time,Weight,GR
IR,F,-0.556521739,439,10.975
IR,F,-0.556521739,423,10.575
IR,F,-0.556521739,376,9.4
IR,F,-0.556521739,451,11.275
IR,F,-0.556521739,482,12.05
IR,F,-0.556521739,430,10.75
IR,F,-0.556521739,384,9.6
IR,F,-0.556521739,448,11.2
IR,F,-0.556521739,325,8.125
IR,F,-0.556521739,393,9.825
IR,F,-0.556521739,450,11.25
IR,F,-0.556521739,444,11.1
IR,F,-0.556521739,443,11.075
IR,F,-0.556521739,324,8.1
IR,F,-0.556521739,436,10.9
IR,F,-0.556521739,416,10.4
IR,F,-0.556521739,411,10.275
IR,F,-0.556521739,462,11.55
IR,F,-0.556521739,389,9.725
IR,M,0.443478261,375,9.146341463
IR,M,0.443478261,378,9.219512195
IR,M,0.443478261,415,10.12195122
IR,M,0.443478261,370,9.024390244
IR,M,0.443478261,354,8.634146341
IR,M,0.443478261,377,9.195121951
IR,M,0.443478261,423,10.31707317
IR,M,0.443478261,430,10.48780488
IR,M,0.443478261,390,9.512195122
IR,M,0.443478261,412,10.04878049
IR,M,0.443478261,453,11.04878049
IR,M,0.443478261,402,9.804878049
IR,M,0.443478261,435,10.6097561
IR,M,0.443478261,358,8.731707317
IR,M,0.443478261,391,9.536585366
IR,M,0.443478261,381,9.292682927
IR,M,0.443478261,408,9.951219512
IR,M,0.443478261,388,9.463414634
IR,M,0.443478261,440,10.73170732
IR,M,0.443478261,346,8.43902439
IR,M,0.443478261,388,9.463414634
IR,M,0.443478261,369,9
IR,F,0.443478261,369,9
IR,F,0.443478261,403,9.829268293
IR,F,0.443478261,412,10.04878049
IR,F,0.443478261,390,9.512195122
IR,F,0.443478261,425,10.36585366
IR,F,0.443478261,396,9.658536585
IR,F,0.443478261,458,11.17073171
IR,F,0.443478261,412,10.04878049
IR,F,0.443478261,408,9.951219512
IR,M,1.443478261,388,9.238095238
IR,M,1.443478261,440,10.47619048
IR,M,1.443478261,394,9.380952381
IR,M,1.443478261,377,8.976190476
IR,M,1.443478261,421,10.02380952
IR,M,1.443478261,372,8.857142857
IR,M,1.443478261,354,8.428571429
IR,M,1.443478261,387,9.214285714
IR,M,1.443478261,352,8.380952381
IR,M,1.443478261,365,8.69047619
IR,M,1.443478261,395,9.404761905
IR,M,1.443478261,331,7.880952381
IR,M,1.443478261,404,9.619047619
IR,M,1.443478261,402,9.571428571
IR,M,2.443478261,383,8.906976744
IR,M,2.443478261,360,8.372093023
IR,M,3.443478261,364,8.272727273
IR,F,3.443478261,561,12.75
IR,M,4.443478261,515,11.44444444
IR,M,5.443478261,434,9.434782609
IR,M,6.443478261,411,8.744680851
IR,M,6.443478261,535,11.38297872
